Barcode,area_mean,major_axis_length_mean,minor_axis_length_mean,perimeter_mean,circularity_mean,eccentricity_mean,solidity_mean,int_gray_mean_mean,int_gray_sd_mean,int_s_mean_mean,int_s_sd_mean,int_a_mean_mean,int_a_sd_mean,int_b_mean_mean,int_b_sd_mean,area_sd,major_axis_length_sd,minor_axis_length_sd,perimeter_sd,circularity_sd,eccentricity_sd,solidity_sd,int_gray_mean_sd,int_gray_sd_sd,int_s_mean_sd,int_s_sd_sd,int_a_mean_sd,int_a_sd_sd,int_b_mean_sd,int_b_sd_sd
TCGA-A6-5661-01Z-00-DX1,968.0503042596348,42.65726776136117,28.16959008354062,119.08200563911792,0.8154613663280259,0.7074872398017544,0.9459118647194176,73.31619442535127,23.16210155374524,136.53488575212472,21.237794712287723,157.77739631979284,5.039577441032128,110.53032797135612,4.6313750040587625,465.8106525476806,11.357337932178575,7.659109011537164,29.99743178340461,0.0985240435026307,0.1495843288226066,0.0501557394968817,18.268285660209344,7.317252068698265,16.37395907083045,5.160379070718539,2.836316431179476,1.0269074402849498,2.4326161448595456,1.6714517714476556
TCGA-A6-5662-01Z-00-DX1,956.3991994177584,41.9932051880628,28.81125886893318,119.52180171951844,0.8115015091400927,0.6859397869478038,0.9403539658055888,68.02516444176682,19.46595060540568,149.68850153237247,19.00871473591468,160.56863597457385,5.043990737215295,111.21889216495556,4.757551928514553,403.66746410785225,9.522615804411531,7.038849584948796,25.87267945225853,0.0967917890423598,0.1498813465764847,0.0472898992034584,13.950961299328654,6.746308462917425,11.96794822036502,5.830137404437341,3.436880090536853,1.1482635534856571,2.2511798207707217,1.3479486730380297
TCGA-A6-5665-01Z-00-DX1,745.1396871589669,37.80264112661806,24.90221012602324,104.82802404458856,0.8250712095470206,0.7064333872330585,0.9485147403123068,61.41773147090012,15.719082079858234,145.5079463034298,16.915351435894948,157.3292539454989,4.326558296428215,109.24678617756068,3.504539061855148,304.2593474241228,8.866394346360218,5.677466618297812,21.67588414556549,0.0896858226511075,0.1489451696004995,0.0372108611751118,10.94300206859973,4.822000838555288,11.660150293214803,3.712156011862812,2.319095779044876,0.8236294749522151,2.5966677543324943,1.0214637725687463
TCGA-A6-5666-01Z-00-DX1,1359.9058948863635,52.2100811418719,32.7951890378305,145.2602789110183,0.7751583973313511,0.7339198158251041,0.9389330913837384,77.49422223903277,26.205691777049218,136.1273881012761,25.256723950150704,159.29091018418669,5.367358023262955,108.16419944039716,5.87651238675927,648.952745657707,14.17682700661429,8.43011245584093,35.39832485088156,0.1009175790725782,0.1420232917794973,0.0514080105665543,8.965424409365282,8.437843025189695,8.964880537615189,7.074405724824784,1.846744874631259,0.9809656703003242,1.3096567333220808,1.732273209172896
TCGA-A6-5667-01Z-00-DX1,924.461897356143,44.408561793347495,26.32337778823933,120.45569572467622,0.7706396569887763,0.7587017592466413,0.9385118731197514,75.44542500376211,20.33970659573896,129.70061642265583,19.963338117852437,156.74927561343011,4.20882561592593,106.22494450193436,4.334632770618372,453.2724111396997,12.37252703981968,7.044361009263223,30.047731023497807,0.109961741651283,0.1440846700133842,0.0522815376399927,13.604854700301471,7.181212787811531,13.26050641487871,5.287987189292083,2.098523388204353,1.028424884908114,1.7507570846793226,1.4563626257606954
TCGA-A6-6137-01Z-00-DX1,935.4951395421764,44.217850744007166,26.58000046859411,120.6368025362092,0.7748270773161298,0.7573318763946821,0.9399286589557592,49.281521106485,24.155351468495965,165.44298640325974,28.40145811908984,154.72297780482512,5.921267647752401,105.83142138300894,4.752073239519685,450.6080484100643,11.923058848305775,7.381511587916309,30.429514724149804,0.1149793254241686,0.1407614241157555,0.0542449729832367,12.290707831546074,7.790347293223784,12.659722098661463,5.877210064234001,3.289858320783416,1.069260180394291,2.431569305038668,1.2976095682814115
TCGA-A6-6138-01Z-00-DX1,986.5174418604652,42.88652743762417,28.698428560895003,121.0219812541024,0.8077585817633781,0.7001852385644429,0.940721420770444,99.24303900384534,24.77578574573649,102.58632634505835,21.39115103982859,154.4331314745016,3.737138988687186,109.14945967705025,4.980794814355025,471.2406161685261,11.193015844842444,7.802242746536222,30.244312412341312,0.1058249016409461,0.1493179648351824,0.0532072684240664,16.844536737396194,6.40242610251699,16.2440480166929,5.255783693629748,2.1627207999425195,1.010695853083517,1.782067887739005,1.3256126561708534
TCGA-A6-6140-01Z-00-DX1,729.6449245821443,37.89506852016103,24.21593363623652,104.43921269007323,0.8074546882359364,0.7224318024963731,0.942416444383462,79.78734775136323,20.90514731774604,121.95657289951222,20.092604210333096,154.91383494228455,3.531560410684169,106.08819540381198,4.37381950992467,333.7101160974116,9.89350764286547,6.188047121560554,24.698438205094234,0.0983609178581473,0.1505671296191448,0.0447140449977114,16.224218163211983,5.84664856992305,16.228469612255477,4.772541212701603,2.442271911042869,0.7612272128874681,2.134014824137514,1.2807767603542464
TCGA-A6-6141-01Z-00-DX1,929.8822257176564,43.53125527922079,27.130635131033237,120.10529335766287,0.784298521407699,0.7319172986667308,0.9364833068138124,86.851895288935,24.03047272037644,121.51434592757354,21.37518843772489,157.9894228403737,4.29296096259222,109.11159690097725,5.062935039481373,417.211754005181,11.72487683617958,6.380294970704048,28.03464261740724,0.1093305614823028,0.149114153235085,0.0546412782425735,13.50722001513604,7.796180306523519,12.532948607146157,5.944333598419627,2.1196447193025367,1.0893155410007511,1.8990332051233856,1.6021084262001015
TCGA-A6-6142-01Z-00-DX1,1031.6398999722146,43.68618013039658,29.864950842856977,124.27094968627073,0.8066651018554347,0.6851723951296269,0.9394914214127124,89.74569714477182,30.764497110091707,130.74053157969325,26.777654624382706,160.20929082682022,6.044012213180584,111.54365929785702,6.220907517015305,454.20899464282127,9.992656864399844,7.6433545287530595,26.881996967723214,0.1042428219022694,0.1572761133182445,0.055470474041299,20.744794201579296,12.00881103779823,20.307205922753983,9.828755292322832,3.1254163791446663,1.909348376980112,2.4343600980224105,1.905523794609948
TCGA-A6-6648-01Z-00-DX1,818.472083423854,39.86782616694343,25.53624568206487,109.81540270263304,0.8127666339585533,0.7241431657391318,0.9474033996298242,56.7542856892337,16.290182419371217,139.24182414104695,19.285805726843755,152.4346344502856,3.1816838309927284,107.02987803585124,2.927068341915145,413.1655872801393,10.917001832348603,7.0829496017638585,28.242448311212648,0.0966569431468077,0.1457810977431339,0.044451994468404,13.375027664407632,4.672598613988577,13.892843565884636,4.449671654633693,2.251928580180685,0.7855214166724168,1.7355506649292198,0.8675797752474723
TCGA-A6-6649-01Z-00-DX1,779.1567715458276,39.96369089444119,24.2669247502857,108.30685117922852,0.7935562343249208,0.7509146346490517,0.9429940007554122,68.20802983984721,21.0801061791402,136.04830494234253,21.12798902575028,155.56194989293635,4.286378066623838,105.93695320420758,4.320016650343822,406.67610933137473,11.278782527061942,6.935184831084839,28.416901842980607,0.1021608079323095,0.144093355315533,0.0472353726641151,14.763574527395312,5.294674779378822,14.920065237156177,4.166627655567142,1.980885102098824,0.8923232683994747,1.868571110200206,1.2070308256464022
TCGA-A6-6650-01Z-00-DX1,1064.9991016619254,45.589903770249485,29.47177946586524,127.63286221517426,0.7903028415114807,0.7178313693608049,0.9387357020059244,80.72313132649712,22.69028245834561,133.59662563810454,20.16990277394144,160.1916702255286,4.850005600316335,108.33601326644202,4.866513287103915,499.31164536445306,11.878195332509646,7.491601080856585,30.521429435264785,0.1086544824902088,0.1476002495021292,0.0550949350766583,12.53755901702862,6.7528493586466585,12.655371326663555,5.372772850512023,2.198520517521648,0.9340675326739898,2.380922833665733,1.3722261115948906
TCGA-A6-6651-01Z-00-DX1,909.2655565293602,41.07947448859217,27.5245005090197,115.02142777299645,0.8241214422623384,0.6989910569668614,0.9490249634581974,74.95628363172192,24.533824971071464,125.4854702128167,23.59036210567229,154.34510740462648,4.072713927099297,107.50592417671916,4.963119791134908,443.7982374064769,10.671529066168066,7.469363495762517,28.769618399676453,0.0941757024000031,0.1517270803147655,0.0428301637876993,16.23838979450648,6.004057346325588,16.38377317900783,4.569562567878728,1.563723757529416,0.7617083798602104,1.4889321979950845,1.3805903694180712
TCGA-A6-6652-01Z-00-DX1,669.7114183764496,38.579567952401895,21.886414396681616,102.01758107852324,0.7808931632846697,0.7803310098982805,0.9438921753067664,62.26382122098016,16.46072203905419,143.18738112203903,18.454498057465752,155.5323547763024,3.751447406755892,103.22137998530528,3.5382325276181703,317.6697565120885,10.540872429285184,5.602686068031209,24.60517381408472,0.1075517018188922,0.1372205276795013,0.0454207041349086,10.245616418948684,4.413345779594157,11.451142182733165,3.5864481949748925,1.691810495461221,0.7857717875275936,1.3187910744003106,1.0051584374846954
TCGA-A6-6653-01Z-00-DX1,784.4243268337976,40.19974679193895,24.8751681297195,109.64554890778776,0.8031762281196148,0.7378734525197628,0.9449409337787704,71.46748745238216,17.72964914154409,130.6957995266146,19.38804436124914,154.7093887912445,3.4630450674725464,102.85793166947556,3.788040286815404,316.0752131714053,10.272548660106647,5.010145774189073,23.59482718774512,0.0990259359385676,0.1434516198054722,0.0445358075511743,10.605631498189128,3.975386263305611,10.733061561747064,3.435129234496267,1.361066280710331,0.6106540013589659,1.1337685051868895,1.1145298345151442
TCGA-A6-6654-01Z-00-DX1,912.0312864360668,42.205510969748566,27.267205070606565,118.00894164252928,0.7883991348105033,0.715604422414169,0.933669131146014,84.07139737592624,25.277874156413365,131.09574086084214,22.28275355323236,160.02957839513772,5.164659781199234,107.48601994605794,5.451234846406424,436.3929956358332,11.440311584758174,6.885152762870527,28.53402339383232,0.1017888875350909,0.1485164570715496,0.0516354175224132,13.654094038845743,7.790269776653699,13.910357978102494,6.208219764805695,2.2982918565053976,0.880908255197983,1.6710079739062924,1.588101725023373
